calendar_bp,c14_age,c14_sigma
0,0,10
500,500,10
1000,1000,10
1500,1500,10
2000,2000,10
2500,2500,10
3000,3000,10
3500,3500,10
4000,4000,10
4500,4500,10
4750,4750,10
4805,4850,10
4855,4950,10
4905,5000,10
4955,5095,10
5005,5095,10
5055,5095,10
5105,5000,10
5155,4900,10
5205,4725,10
5255,4900,10
5305,5000,10
5355,5100,10
5405,5200,10
5455,5300,10
5505,5400,10
5555,5500,10
6000,6000,10
6500,6500,10
7000,7000,10
7500,7500,10
8000,8000,10
8500,8500,10
9000,9000,10
9500,9500,10
10000,10000,10
10500,10500,10
11000,11000,10
11500,11500,10
12000,12000,10
